ID,Age,Gender,Department,Work_Mode,Current_Experience,Companies_Count,Education_Years,Total_Experience,Seniority,Monthly_Hours,Job_Satisfaction,Performance_Review,Salary
1,28.0,Male,Legal,Office,0.0,0.0,17.0,4.0,Junior,169.0,4.0,7.0,11500.0
2,50.0,Male,Support,Remote,35.0,0.0,15.0,35.0,Manager,191.0,5.0,10.0,31700.0
3,36.0,Female,Finance,Office,2.0,5.0,15.0,8.0,Mid,171.0,4.0,6.0,17800.0
4,34.0,Male,Finance,Hybrid,11.0,7.0,16.0,12.0,Mid,171.0,3.0,8.0,18800.0
5,29.0,Male,Legal,Hybrid,5.0,0.0,17.0,6.0,Mid,159.0,5.0,9.0,20500.0
6,22.0,Female,R&D,Hybrid,1.0,4.0,19.0,1.0,Junior,185.0,3.0,8.0,12600.0
7,45.0,Female,Legal,,2.0,7.0,17.0,14.0,Senior,174.0,4.0,8.0,
8,40.0,Female,Support,Office,,,13.0,9.0,,,3.0,8.0,12900.0
9,44.0,Female,R&D,Hybrid,37.0,4.0,17.0,37.0,Manager,214.0,2.0,7.0,46600.0
10,60.0,Male,HR,Office,23.0,6.0,14.0,23.0,Manager,204.0,1.0,6.0,27900.0
11,42.0,Female,Finance,Hybrid,2.0,7.0,15.0,11.0,Senior,186.0,4.0,9.0,30500.0
12,25.0,Male,Finance,Hybrid,1.0,2.0,15.0,1.0,Junior,203.0,,,10400.0
13,22.0,Female,R&D,Office,0.0,7.0,21.0,0.0,Junior,158.0,4.0,6.0,12400.0
14,,Male,Sales,Office,1.0,0.0,15.0,8.0,Mid,181.0,2.0,6.0,15400.0
15,45.0,Female,Support,Hybrid,7.0,1.0,13.0,25.0,Senior,183.0,3.0,9.0,21000.0
16,44.0,Female,Support,Hybrid,24.0,5.0,15.0,24.0,Senior,143.0,4.0,9.0,21000.0
17,22.0,Female,Support,Office,1.0,2.0,15.0,1.0,Junior,160.0,1.0,7.0,7400.0
18,37.0,Male,Finance,Office,8.0,5.0,16.0,9.0,Mid,194.0,2.0,7.0,18000.0
19,45.0,Male,Marketing,Office,27.0,5.0,16.0,27.0,Manager,196.0,3.0,9.0,37000.0
20,44.0,Female,Finance,Office,7.0,2.0,17.0,17.0,Senior,191.0,3.0,10.0,
21,51.0,Female,Marketing,Hybrid,34.0,4.0,14.0,34.0,Manager,172.0,4.0,9.0,36200.0
22,39.0,Male,Finance,Hybrid,1.0,7.0,16.0,22.0,Senior,174.0,5.0,9.0,32200.0
23,41.0,Female,HR,Hybrid,13.0,4.0,13.0,15.0,Senior,177.0,4.0,9.0,22200.0
24,42.0,Female,Finance,Remote,10.0,,15.0,18.0,Senior,164.0,,9.0,31700.0
25,40.0,Male,HR,Office,9.0,4.0,14.0,11.0,Senior,179.0,4.0,8.0,21100.0
26,33.0,Female,Marketing,Hybrid,8.0,0.0,16.0,9.0,Mid,173.0,2.0,7.0,15200.0
27,43.0,Male,Support,Hybrid,7.0,2.0,15.0,23.0,Senior,,4.0,10.0,22400.0
28,27.0,Male,Marketing,Hybrid,2.0,6.0,16.0,3.0,Junior,174.0,2.0,6.0,8400.0
29,36.0,Male,R&D,Hybrid,5.0,6.0,17.0,11.0,Mid,178.0,4.0,8.0,22700.0
30,48.0,Female,Support,Hybrid,2.0,5.0,14.0,18.0,Manager,199.0,4.0,8.0,29100.0
31,36.0,Female,Finance,Hybrid,6.0,6.0,17.0,12.0,Senior,191.0,4.0,9.0,32700.0
32,49.0,Male,Finance,Office,16.0,2.0,16.0,25.0,Manager,189.0,3.0,8.0,44600.0
33,40.0,Female,Finance,Hybrid,39.0,6.0,16.0,39.0,,237.0,2.0,6.0,40900.0
34,36.0,Female,Finance,Hybrid,5.0,2.0,15.0,7.0,Mid,218.0,2.0,7.0,18900.0
35,26.0,Female,Finance,Remote,2.0,4.0,16.0,3.0,Junior,192.0,4.0,8.0,11900.0
36,43.0,Male,Marketing,Hybrid,1.0,6.0,12.0,16.0,Senior,171.0,4.0,8.0,
37,24.0,Female,Legal,Hybrid,2.0,7.0,18.0,3.0,Junior,165.0,3.0,8.0,11200.0
38,28.0,Male,HR,Hybrid,0.0,2.0,16.0,0.0,Junior,165.0,1.0,7.0,7800.0
39,34.0,Male,Legal,Remote,6.0,7.0,17.0,7.0,Mid,169.0,3.0,6.0,16900.0
40,30.0,Male,Marketing,Remote,2.0,7.0,13.0,2.0,Junior,172.0,3.0,9.0,9500.0
41,45.0,Male,Sales,Hybrid,10.0,1.0,18.0,10.0,Senior,177.0,5.0,7.0,25800.0
42,39.0,,Legal,Hybrid,5.0,1.0,19.0,13.0,Senior,169.0,5.0,8.0,29500.0
43,38.0,Male,Marketing,Office,11.0,0.0,15.0,11.0,Senior,185.0,3.0,7.0,22300.0
44,26.0,Female,Support,Hybrid,0.0,2.0,13.0,0.0,Junior,168.0,2.0,7.0,7400.0
45,35.0,Male,Finance,Hybrid,8.0,6.0,16.0,11.0,Senior,186.0,5.0,7.0,30400.0
46,38.0,Male,Marketing,Hybrid,17.0,7.0,15.0,19.0,Senior,186.0,5.0,10.0,26700.0
47,22.0,Female,Legal,Office,,2.0,19.0,4.0,Junior,,2.0,6.0,10300.0
48,36.0,Female,HR,Hybrid,2.0,7.0,14.0,7.0,Mid,179.0,3.0,,13700.0
49,41.0,Male,Legal,Office,2.0,5.0,19.0,11.0,Senior,157.0,4.0,7.0,29000.0
50,36.0,Male,Finance,Hybrid,1.0,4.0,18.0,11.0,Mid,172.0,2.0,6.0,17500.0
51,37.0,Male,Legal,Office,7.0,5.0,17.0,23.0,,161.0,4.0,6.0,27100.0
52,37.0,Male,R&D,Hybrid,9.0,6.0,16.0,12.0,Mid,163.0,4.0,,22500.0
53,29.0,Female,Sales,Office,,3.0,16.0,0.0,Junior,187.0,1.0,6.0,9100.0
54,28.0,Female,Support,Office,11.0,5.0,14.0,12.0,Mid,168.0,3.0,8.0,12200.0
55,35.0,Male,HR,Hybrid,10.0,6.0,13.0,12.0,Mid,168.0,3.0,6.0,12400.0
56,53.0,Female,Sales,Office,15.0,3.0,15.0,16.0,Manager,206.0,1.0,7.0,36500.0
57,29.0,Female,Marketing,Hybrid,7.0,6.0,16.0,8.0,Mid,159.0,4.0,6.0,13800.0
58,61.0,Male,Sales,Remote,1.0,2.0,14.0,20.0,Manager,194.0,5.0,9.0,38800.0
59,28.0,,Finance,Remote,9.0,0.0,15.0,9.0,Mid,204.0,1.0,6.0,18000.0
60,32.0,Female,Finance,Office,7.0,1.0,15.0,9.0,Mid,193.0,3.0,9.0,21000.0
61,42.0,Female,R&D,Remote,11.0,2.0,21.0,19.0,Senior,160.0,5.0,10.0,38700.0
62,38.0,Male,Sales,Office,6.0,2.0,14.0,25.0,Senior,166.0,4.0,9.0,27300.0
63,36.0,Male,Legal,Remote,5.0,0.0,17.0,24.0,Senior,148.0,5.0,8.0,30200.0
64,25.0,Male,Sales,Hybrid,0.0,0.0,12.0,1.0,Junior,184.0,2.0,6.0,9200.0
65,30.0,Female,Finance,Office,0.0,3.0,19.0,1.0,Junior,201.0,1.0,6.0,11200.0
66,30.0,Male,Marketing,Hybrid,1.0,6.0,14.0,2.0,Junior,172.0,2.0,6.0,8100.0
67,36.0,Male,Marketing,Office,1.0,2.0,16.0,14.0,Senior,172.0,4.0,7.0,23200.0
68,38.0,Female,Support,Hybrid,11.0,6.0,12.0,11.0,Mid,183.0,2.0,6.0,11100.0
69,35.0,Female,Legal,Hybrid,14.0,2.0,19.0,18.0,Senior,158.0,4.0,9.0,32300.0
70,57.0,Female,Legal,Hybrid,31.0,4.0,19.0,31.0,Manager,211.0,2.0,8.0,44200.0
71,35.0,Male,Marketing,Hybrid,2.0,1.0,13.0,10.0,Senior,165.0,5.0,7.0,22800.0
72,28.0,Male,Sales,Remote,2.0,4.0,13.0,3.0,Junior,188.0,3.0,8.0,10800.0
73,42.0,Male,R&D,Remote,6.0,7.0,16.0,27.0,Manager,,3.0,6.0,43800.0
74,29.0,Male,Marketing,Hybrid,1.0,4.0,15.0,1.0,Junior,159.0,4.0,9.0,9400.0
75,35.0,Female,Legal,Hybrid,2.0,1.0,19.0,6.0,Mid,,4.0,,18200.0
76,36.0,Male,Legal,Remote,6.0,2.0,17.0,8.0,Mid,169.0,5.0,9.0,19600.0
77,23.0,Male,Finance,Remote,1.0,3.0,16.0,3.0,Junior,171.0,5.0,9.0,13300.0
78,28.0,Male,Finance,Office,3.0,7.0,15.0,4.0,Junior,181.0,1.0,6.0,10400.0
79,37.0,Male,Support,Office,11.0,6.0,13.0,11.0,Mid,165.0,3.0,7.0,12000.0
80,30.0,Female,Support,Office,2.0,1.0,12.0,2.0,Junior,147.0,3.0,,7000.0
81,24.0,Male,Sales,Hybrid,2.0,0.0,14.0,2.0,Junior,,,6.0,8400.0
